PriceSUM,path
570.0,"[{""name"":TUS},{""flightID"":991,""class"":firstClass,""ticketID"":994,""airlineName"":20304},{""name"":LAX}]"
852.0,"[{""name"":ABQ},{""flightID"":903,""class"":firstClass,""ticketID"":906,""airlineName"":20304},{""name"":LAX}]"
1365.75,"[{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1933.5,"[{""name"":EWR},{""flightID"":147,""class"":economy,""ticketID"":148,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2667.75,"[{""name"":MCO},{""flightID"":91,""class"":economy,""ticketID"":92,""airlineName"":19977},{""name"":EWR},{""name"":EWR},{""flightID"":147,""class"":economy,""ticketID"":148,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2912.5,"[{""name"":MCO},{""flightID"":91,""class"":business,""ticketID"":93,""airlineName"":19977},{""name"":EWR},{""name"":EWR},{""flightID"":147,""class"":economy,""ticketID"":148,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2767.5,"[{""name"":FLL},{""flightID"":107,""class"":economy,""ticketID"":108,""airlineName"":19977},{""name"":EWR},{""name"":EWR},{""flightID"":147,""class"":economy,""ticketID"":148,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2001.75,"[{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2446.5,"[{""name"":SBN},{""flightID"":1047,""class"":economy,""ticketID"":1048,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2594.75,"[{""name"":SBN},{""flightID"":1047,""class"":business,""ticketID"":1049,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2450.25,"[{""name"":SBN},{""flightID"":1051,""class"":economy,""ticketID"":1052,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2597.75,"[{""name"":SBN},{""flightID"":1055,""class"":business,""ticketID"":1057,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2719.35,"[{""name"":SBN},{""flightID"":1051,""class"":firstClass,""ticketID"":1054,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2319.75,"[{""name"":MOB},{""flightID"":1043,""class"":business,""ticketID"":1045,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2383.35,"[{""name"":MOB},{""flightID"":1043,""class"":firstClass,""ticketID"":1046,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2713.35,"[{""name"":SBN},{""flightID"":1047,""class"":firstClass,""ticketID"":1050,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2448.75,"[{""name"":SBN},{""flightID"":1055,""class"":economy,""ticketID"":1056,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2599.75,"[{""name"":SBN},{""flightID"":1051,""class"":business,""ticketID"":1053,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2240.25,"[{""name"":MOB},{""flightID"":1043,""class"":economy,""ticketID"":1044,""airlineName"":20304},{""name"":ATL},{""name"":ATL},{""flightID"":387,""class"":business,""ticketID"":389,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
